date,follower
2025-04-27,1275688
2025-04-26,1275522
2025-04-25,1275255
2025-04-24,1274819
2025-04-23,1274712
2025-04-22,1274605
2025-04-21,1274447
2025-04-20,1274238
2025-04-19,1273905
2025-04-18,1273550
2025-04-17,1273293
2025-04-16,1273082
2025-04-15,1272811
2025-04-14,1272455
2025-04-13,1271954
2025-04-12,1271269
2025-04-11,1270468
2025-04-10,1270014
2025-04-09,1269765
2025-04-08,1269518
2025-04-07,1269331
2025-04-06,1268886
2025-04-05,1268220
2025-04-04,1267688
2025-04-03,1267131
2025-04-02,1266613
2025-04-01,1266162
2025-03-31,1265696
2025-03-30,1265323
2025-03-29,1264879
2025-03-28,1264633
2025-03-27,1264376
2025-03-26,1264093
2025-03-25,1263777
2025-03-24,1263339
2025-03-23,1263099
2025-03-22,1262898
2025-03-21,1262592
2025-03-20,1262267
2025-03-19,1261917
2025-03-18,1261213
2025-03-17,1260495
2025-03-16,1260185
2025-03-15,1259709
2025-03-14,1259273
2025-03-13,1258972
2025-03-12,1258542
2025-03-11,1258146
2025-03-10,1257701
2025-03-09,1257376
2025-03-08,1256696
2025-03-07,1256220
2025-03-06,1255792
2025-03-05,1255678
2025-03-04,1255603
2025-03-03,1255421
2025-03-02,1255215
2025-03-01,1254849
2025-02-28,1254529
2025-02-27,1254286
2025-02-26,1254039
2025-02-25,1253813
2025-02-24,1253507
2025-02-23,1253333
2025-02-22,1253044
2025-02-21,1252747
2025-02-20,1252400
2025-02-19,1251743
2025-02-18,1251078
2025-02-17,1250685
2025-02-16,1249990
2025-02-15,1248760
2025-02-14,1247712
2025-02-13,1246880
2025-02-12,1246087
2025-02-11,1245518
2025-02-10,1244858
2025-02-09,1244112
2025-02-08,1243189
2025-02-07,1241971
2025-02-06,1240848
2025-02-05,1239921
2025-02-04,1239186
2025-02-03,1238150
2025-02-02,1237520
2025-02-01,1236745
2025-01-31,1235924
2025-01-30,1235188
2025-01-29,1234451
2025-01-28,1233639
2025-01-27,1232762
2025-01-26,1232032
2025-01-25,1231172
2025-01-24,1230262
2025-01-23,1229408
2025-01-22,1228929
2025-01-21,1228398
2025-01-20,1227927
2025-01-19,1227381
2025-01-18,1226681
2025-01-17,1225872
2025-01-16,1225093
2025-01-15,1224365
2025-01-14,1223932
2025-01-13,1223493
2025-01-12,1223048
2025-01-11,1222597
2025-01-10,1222081
2025-01-09,1221598
2025-01-08,1221157
2025-01-07,1220787
2025-01-06,1220370
2025-01-05,1219915
2025-01-04,1219311
2025-01-03,1218844
2025-01-02,1218438
2025-01-01,1218135
2024-12-31,1217731
2024-12-30,1217383
2024-12-29,1216850
2024-12-28,1215873
2024-12-27,1214526
2024-12-26,1213680
2024-12-25,1212937
2024-12-24,1212372
2024-12-23,1211929
2024-12-22,1211526
2024-12-21,1211018
2024-12-20,1210467
2024-12-19,1209888
2024-12-18,1209508
2024-12-17,1209064
2024-12-16,1208290
2024-12-15,1207501
2024-12-14,1206721
2024-12-13,1205447
2024-12-12,1204460
2024-12-11,1204033
2024-12-10,1203557
2024-12-09,1202750
2024-12-08,1201406
2024-12-07,1199216
2024-12-06,1197470
2024-12-05,1196535
2024-12-04,1196270
2024-12-03,1195996
2024-12-02,1195792
2024-12-01,1195565
2024-11-30,1195332
2024-11-29,1195003
2024-11-28,1194655
2024-11-27,1194385
2024-11-26,1193992
2024-11-25,1193506
2024-11-24,1193162
2024-11-23,1192208
2024-11-22,1190914
2024-11-21,1190394
2024-11-20,1190134
2024-11-19,1189931
2024-11-18,1189623
2024-11-17,1189209
